 customer ,productid, season , volume , region , discount , volume discount , category discount , status , individual rate , corporate rate , receivable before discounts , total discounts , receivable after discounts , region loading , total receivable , COMMENTS 
 A ,1, winter ,90, non-EMEA , -   , -   ,0.05, INDIVIDUAL ,"1,000.00",900,"90,000.00","4,500.00","85,500.00", -   ,"85,500.00", CUSTOMER A IS STRATEGIC AND INDIVIDUAL 
 B ,2,winter,900, non-EMEA ,0,0.05,0.05, INDIVIDUAL ,"1,000.00",900,"900,000.00","90,000.00","810,000.00",0,"810,000.00", CUSTOMER A IS STRATEGIC AND INDIVIDUAL 
 C  ,3,winter,90,EMEA,0,0,0,INDIVIDUAL,"1,000.00",900,"90,000.00",0,"90,000.00",9000,"99,000.00",CUSTOMER IS NON STRATEGIC AND INVIDUAL
 D ,3,spring,90,EMEA,0.05,0,0,INDIVIDUAL,"1,000.00",900,"90,000.00","4,500.00","85,500.00",8550,"94,050.00",CUSTOMER IS NON STRATEGIC AND INVIDUAL
 E ,,,,,,,,,,,,,,,,
 F ,,,,,,,,,,,,,,,,
 G ,,,,,,,,,,,,,,,,
 H ,,,,,,,,,,,,,,,,
 I ,,,,,,,,,,,,,,,,
 J ,,,,,,,,,,,,,,,,
